model,display_name,course_source,train_accuracy,val_accuracy,test_accuracy,test_macro_f1,test_weighted_f1,train_test_accuracy_gap,inference_seconds_mean,inference_seconds_std,inference_ms_per_sample
logistic_regression,Logistic Regression,课堂已学,0.9079238135325687,0.9138827023014106,0.9104859335038363,0.9231434947495621,0.9121554928691771,-0.0025621199712676512,0.00010999375081155449,1.4363716458815831e-05,4.018770581350182e-05
knn,KNN,课堂已学,1.0,0.9220489977728286,0.9294848374132262,0.9405013958329251,0.9296458350257142,0.07051516258677382,0.014321847849350889,0.001839105806524938,0.005232680982590752
linear_svm,Linear SVM,课堂已学,0.9125539303377881,0.9138827023014106,0.9141395688710267,0.9268072236975444,0.9155755336710864,-0.0015856385332385647,0.00011106449892395176,5.5712597095914736e-06,4.057891813078252e-05
random_forest,Random Forest,课堂未讲,1.0,0.9205642167780252,0.9229082937522836,0.9327184597847522,0.9229436793517106,0.07709170624771644,0.015706202200090048,0.00473276204270095,0.005738473584249195
gaussian_nb,Gaussian Naive Bayes,课堂未讲,0.9010838682521309,0.9153674832962138,0.9064669345999269,0.915391878506284,0.9065855206392025,-0.005383066347795951,0.0003992022029706277,3.684163405452318e-05,0.00014585392874337877
