model,display_name,epoch,train_loss,val_loss
logistic_regression,Logistic Regression,1,1.0913192996149215,1.053484526799597
logistic_regression,Logistic Regression,2,0.6850468841150993,0.6493391734871972
logistic_regression,Logistic Regression,3,0.6730621454903998,0.6305050746804578
logistic_regression,Logistic Regression,4,0.6567260592803894,0.603811950097686
logistic_regression,Logistic Regression,5,0.6149291006327102,0.5473591257679421
logistic_regression,Logistic Regression,6,0.6145059492882308,0.5453429847192345
logistic_regression,Logistic Regression,7,0.6228522207972089,0.5448367062881948
logistic_regression,Logistic Regression,8,0.638254728655751,0.5614991398028172
logistic_regression,Logistic Regression,9,0.641491081469272,0.5645473510082354
logistic_regression,Logistic Regression,10,0.6762786526027725,0.5992059814299043
logistic_regression,Logistic Regression,11,0.6885583219932889,0.6142837228716372
logistic_regression,Logistic Regression,12,0.6977806711781214,0.6224449310362838
logistic_regression,Logistic Regression,13,0.7201821308731117,0.6470055859210871
logistic_regression,Logistic Regression,14,0.738595199434819,0.6666599086717239
logistic_regression,Logistic Regression,15,0.7337829532283923,0.662351698734152
logistic_regression,Logistic Regression,16,0.7320486242111179,0.6612417398615319
logistic_regression,Logistic Regression,17,0.752973414769151,0.6848141791919916
logistic_regression,Logistic Regression,18,0.7504009605595825,0.6809248441819858
logistic_regression,Logistic Regression,19,0.7578924310125924,0.6904245719270798
logistic_regression,Logistic Regression,20,0.7543123924618311,0.686890618824602
logistic_regression,Logistic Regression,21,0.7617449168252458,0.695779098324035
logistic_regression,Logistic Regression,22,0.7614962953743177,0.6950169565828375
logistic_regression,Logistic Regression,23,0.7592459487387181,0.6937805031017978
logistic_regression,Logistic Regression,24,0.7563116663041848,0.6905927808203672
logistic_regression,Logistic Regression,25,0.7682888656991579,0.7054712484915561
logistic_regression,Logistic Regression,26,0.7531695972525433,0.6896000384383736
logistic_regression,Logistic Regression,27,0.7614510151177805,0.7006365902337722
logistic_regression,Logistic Regression,28,0.7596534693934642,0.6997748819078469
logistic_regression,Logistic Regression,29,0.7597575165179787,0.7001866637410316
logistic_regression,Logistic Regression,30,0.7529633484667128,0.6930349122896903
logistic_regression,Logistic Regression,31,0.7590482407560117,0.7003196537365606
logistic_regression,Logistic Regression,32,0.7589124382148505,0.7011546161060527
logistic_regression,Logistic Regression,33,0.7447869984922708,0.685005477789853
logistic_regression,Logistic Regression,34,0.7544496103079845,0.6964178637382398
logistic_regression,Logistic Regression,35,0.7468678771816956,0.6885223427991893
logistic_regression,Logistic Regression,36,0.7409683819892247,0.6809644496924304
logistic_regression,Logistic Regression,37,0.7529667959142173,0.6951455548548514
logistic_regression,Logistic Regression,38,0.7449844767345232,0.6868239693716194
logistic_regression,Logistic Regression,39,0.7479126518530083,0.6888414745118999
logistic_regression,Logistic Regression,40,0.7400703474285355,0.6800901137198909
logistic_regression,Logistic Regression,41,0.7470773409164086,0.6887080589497502
logistic_regression,Logistic Regression,42,0.7447452056888505,0.6862673953363371
logistic_regression,Logistic Regression,43,0.7441026895562767,0.6846063659808068
logistic_regression,Logistic Regression,44,0.7423040467105834,0.683944443098004
logistic_regression,Logistic Regression,45,0.7404016793523028,0.68103643118701
logistic_regression,Logistic Regression,46,0.7368843556986469,0.6763145156239987
logistic_regression,Logistic Regression,47,0.7390115372579754,0.6797191106790678
logistic_regression,Logistic Regression,48,0.7403334753134148,0.6806817779699355
logistic_regression,Logistic Regression,49,0.7366517521113444,0.676584068134759
logistic_regression,Logistic Regression,50,0.7352090467774774,0.6748820458661348
logistic_regression,Logistic Regression,51,0.7413589949620897,0.6821480679075188
logistic_regression,Logistic Regression,52,0.7439762759696911,0.6856836561931833
logistic_regression,Logistic Regression,53,0.7347555968152476,0.6741945576128108
logistic_regression,Logistic Regression,54,0.7429941001443967,0.6848771917643465
logistic_regression,Logistic Regression,55,0.7372147384148916,0.677837271087035
logistic_regression,Logistic Regression,56,0.7380793274268261,0.678806330317894
logistic_regression,Logistic Regression,57,0.7396641369726532,0.680040013519174
logistic_regression,Logistic Regression,58,0.734211246775146,0.6743442230903263
logistic_regression,Logistic Regression,59,0.7299471500135227,0.6688171302598706
logistic_regression,Logistic Regression,60,0.7340745215692942,0.6742086596640076
linear_svm,Linear SVM,1,2.942870946283307,1.96667714171929
linear_svm,Linear SVM,2,2.486836389627678,1.7508583162731244
linear_svm,Linear SVM,3,1.9824138816616355,1.419700214516555
linear_svm,Linear SVM,4,1.5931665733490379,1.1729345765969559
linear_svm,Linear SVM,5,1.4896008868539947,1.1485494449110756
linear_svm,Linear SVM,6,1.400157119903716,1.096989165105913
linear_svm,Linear SVM,7,1.364781872569497,1.108386679193967
linear_svm,Linear SVM,8,1.3627493850954513,1.1368062181670875
linear_svm,Linear SVM,9,1.339020755764508,1.1303445633935696
linear_svm,Linear SVM,10,1.361891768593947,1.1646401716292563
linear_svm,Linear SVM,11,1.351395959679521,1.1704297625897222
linear_svm,Linear SVM,12,1.3269058001149399,1.148786254868114
linear_svm,Linear SVM,13,1.3308712482392948,1.1727625376068644
linear_svm,Linear SVM,14,1.3443258568901948,1.1970025007602942
linear_svm,Linear SVM,15,1.3287873690634107,1.1767299243410154
linear_svm,Linear SVM,16,1.3014083343468077,1.1517129743576062
linear_svm,Linear SVM,17,1.3236947848791358,1.1811423293423358
linear_svm,Linear SVM,18,1.3091904851468308,1.1653163834520734
linear_svm,Linear SVM,19,1.3137217720812369,1.174402698789313
linear_svm,Linear SVM,20,1.2975565683059973,1.1624754915279223
linear_svm,Linear SVM,21,1.2889971208949513,1.1560322874601214
linear_svm,Linear SVM,22,1.2811673515838997,1.1459421037392952
linear_svm,Linear SVM,23,1.2741849794745066,1.1394509735173401
linear_svm,Linear SVM,24,1.2717951989382608,1.1355857014260287
linear_svm,Linear SVM,25,1.2687968383757744,1.1412994102545857
linear_svm,Linear SVM,26,1.2520398893465399,1.1165902479771534
linear_svm,Linear SVM,27,1.2587378000149814,1.1291196815265716
linear_svm,Linear SVM,28,1.2535349645850573,1.1248478069763501
linear_svm,Linear SVM,29,1.2563789116007738,1.124904801025804
linear_svm,Linear SVM,30,1.229925581240578,1.1009158020529066
linear_svm,Linear SVM,31,1.2525668538951817,1.1232559315964328
linear_svm,Linear SVM,32,1.2416774101946615,1.1123837729379278
linear_svm,Linear SVM,33,1.2239461255132265,1.0952748669391759
linear_svm,Linear SVM,34,1.2338612621623515,1.1046234439496785
linear_svm,Linear SVM,35,1.216569227339267,1.0879699631231994
linear_svm,Linear SVM,36,1.2096102671224864,1.0785342835495233
linear_svm,Linear SVM,37,1.2169614365414665,1.088832488796953
linear_svm,Linear SVM,38,1.2220340525912154,1.0949507374329077
linear_svm,Linear SVM,39,1.2125654577230929,1.0848442282728201
linear_svm,Linear SVM,40,1.2033745568831444,1.0734932904942098
linear_svm,Linear SVM,41,1.2123052883416845,1.086006719389703
linear_svm,Linear SVM,42,1.2090727283709075,1.0835439070206363
linear_svm,Linear SVM,43,1.2037373496149744,1.075034078695517
linear_svm,Linear SVM,44,1.202371426784458,1.0758525580550953
linear_svm,Linear SVM,45,1.1997173893632684,1.073855955483122
linear_svm,Linear SVM,46,1.1978647756024066,1.0698309814123406
linear_svm,Linear SVM,47,1.1976872187753105,1.069248268430998
linear_svm,Linear SVM,48,1.2002571918614742,1.0739770146444896
linear_svm,Linear SVM,49,1.1941239461732434,1.0650924780433288
linear_svm,Linear SVM,50,1.1961536702683575,1.0701602155251932
linear_svm,Linear SVM,51,1.1986467174272093,1.071271048915598
linear_svm,Linear SVM,52,1.20350159011865,1.0771790602939504
linear_svm,Linear SVM,53,1.1907652196669523,1.0623229155397378
linear_svm,Linear SVM,54,1.1981829063313691,1.0739967563719295
linear_svm,Linear SVM,55,1.1937707005938039,1.0665022361727716
linear_svm,Linear SVM,56,1.1918974176192731,1.0648340661237776
linear_svm,Linear SVM,57,1.1925039232113261,1.0653687405251486
linear_svm,Linear SVM,58,1.1902226593290968,1.0629650217184021
linear_svm,Linear SVM,59,1.1801579668681423,1.051317311382465
linear_svm,Linear SVM,60,1.1854085552875737,1.0574412719645316
